TYPE,LOCATION,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020
CONFIRMADOS,ARGENTINA/CORDOBA/CALAMUCHITA,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
CONFIRMADOS,ARGENTINA/CORDOBA/CALAMUCHITA/VILLA GENERAL BELGRANO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CONFIRMADOS,ARGENTINA/CORDOBA/CALAMUCHITA/VILLA GRAL BELGRANO,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CONFIRMADOS,ARGENTINA/CORDOBA/CAPITAL,46.0,55.0,56.0,59.0,62.0,65.0,65.0,68.0,71.0,71.0,71.0,72.0,77.0,77.0,81.0,82.0,84.0,85.0,85.0,86.0,89.0,91.0,93.0,94.0,96.0,97.0,98.0,98.0,101.0,113.0
CONFIRMADOS,ARGENTINA/CORDOBA/CAPITAL/CORDOBA,46.0,55.0,56.0,59.0,62.0,65.0,65.0,68.0,71.0,71.0,71.0,72.0,77.0,77.0,81.0,82.0,84.0,85.0,85.0,86.0,89.0,91.0,93.0,94.0,96.0,96.0,97.0,97.0,100.0,112.0
CONFIRMADOS,ARGENTINA/CORDOBA/CAPITAL/MENDOZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
CONFIRMADOS,ARGENTINA/CORDOBA/COLON,9.0,11.0,12.0,12.0,12.0,12.0,12.0,13.0,14.0,43.0,47.0,50.0,55.0,60.0,67.0,72.0,72.0,82.0,82.0,82.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,84.0,84.0
CONFIRMADOS,ARGENTINA/CORDOBA/COLON/CALERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CONFIRMADOS,ARGENTINA/CORDOBA/COLON/CERRO AZUL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CONFIRMADOS,ARGENTINA/CORDOBA/COLON/COLONIA CAROYA,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CONFIRMADOS,ARGENTINA/CORDOBA/COLON/LA CALERA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
CONFIRMADOS,ARGENTINA/CORDOBA/COLON/MENDIOLAZA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
