LOCATION,fecha_cui_intensivo,value,fecha_csv
ALL,2020-03-04,1,2020-06-16
ALL,2020-03-08,1,2020-06-16
ALL,2020-03-09,3,2020-06-16
ALL,2020-03-12,2,2020-06-16
ALL,2020-03-13,1,2020-06-16
ALL,2020-03-14,4,2020-06-16
ALL,2020-03-15,2,2020-06-16
ALL,2020-03-16,1,2020-06-16
ALL,2020-03-17,3,2020-06-16
ALL,2020-03-18,5,2020-06-16
ALL,2020-03-19,3,2020-06-16
ALL,2020-03-20,4,2020-06-16
ALL,2020-03-21,6,2020-06-16
ALL,2020-03-22,7,2020-06-16
ALL,2020-03-23,5,2020-06-16
ALL,2020-03-24,6,2020-06-16
ALL,2020-03-25,10,2020-06-16
ALL,2020-03-26,12,2020-06-16
ALL,2020-03-27,7,2020-06-16
ALL,2020-03-28,11,2020-06-16
ALL,2020-03-29,10,2020-06-16
ALL,2020-03-30,19,2020-06-16
ALL,2020-03-31,12,2020-06-16
ALL,2020-04-01,10,2020-06-16
ALL,2020-04-02,9,2020-06-16
ALL,2020-04-03,8,2020-06-16
ALL,2020-04-04,7,2020-06-16
ALL,2020-04-05,12,2020-06-16
ALL,2020-04-06,5,2020-06-16
ALL,2020-04-07,10,2020-06-16
ALL,2020-04-08,6,2020-06-16
ALL,2020-04-09,4,2020-06-16
ALL,2020-04-10,6,2020-06-16
ALL,2020-04-11,8,2020-06-16
ALL,2020-04-12,2,2020-06-16
ALL,2020-04-13,8,2020-06-16
ALL,2020-04-14,5,2020-06-16
ALL,2020-04-15,5,2020-06-16
ALL,2020-04-16,2,2020-06-16
ALL,2020-04-17,7,2020-06-16
ALL,2020-04-18,6,2020-06-16
ALL,2020-04-19,6,2020-06-16
ALL,2020-04-20,9,2020-06-16
ALL,2020-04-21,2,2020-06-16
ALL,2020-04-22,9,2020-06-16
ALL,2020-04-23,8,2020-06-16
ALL,2020-04-24,11,2020-06-16
ALL,2020-04-25,5,2020-06-16
ALL,2020-04-26,4,2020-06-16
ALL,2020-04-27,11,2020-06-16
ALL,2020-04-28,4,2020-06-16
ALL,2020-04-29,3,2020-06-16
ALL,2020-04-30,4,2020-06-16
ALL,2020-05-01,2,2020-06-16
ALL,2020-05-02,13,2020-06-16
ALL,2020-05-03,3,2020-06-16
ALL,2020-05-04,9,2020-06-16
ALL,2020-05-05,8,2020-06-16
ALL,2020-05-06,6,2020-06-16
ALL,2020-05-07,9,2020-06-16
ALL,2020-05-08,8,2020-06-16
ALL,2020-05-09,6,2020-06-16
ALL,2020-05-10,8,2020-06-16
ALL,2020-05-11,10,2020-06-16
ALL,2020-05-12,10,2020-06-16
ALL,2020-05-13,7,2020-06-16
ALL,2020-05-14,10,2020-06-16
ALL,2020-05-15,10,2020-06-16
ALL,2020-05-16,12,2020-06-16
ALL,2020-05-17,12,2020-06-16
ALL,2020-05-18,22,2020-06-16
ALL,2020-05-19,18,2020-06-16
ALL,2020-05-20,20,2020-06-16
ALL,2020-05-21,23,2020-06-16
ALL,2020-05-22,16,2020-06-16
ALL,2020-05-23,16,2020-06-16
ALL,2020-05-24,16,2020-06-16
ALL,2020-05-25,14,2020-06-16
ALL,2020-05-26,15,2020-06-16
ALL,2020-05-27,21,2020-06-16
ALL,2020-05-28,25,2020-06-16
ALL,2020-05-29,25,2020-06-16
ALL,2020-05-30,22,2020-06-16
ALL,2020-05-31,18,2020-06-16
ALL,2020-06-01,14,2020-06-16
ALL,2020-06-02,23,2020-06-16
ALL,2020-06-03,19,2020-06-16
ALL,2020-06-04,20,2020-06-16
ALL,2020-06-05,14,2020-06-16
ALL,2020-06-06,25,2020-06-16
ALL,2020-06-07,15,2020-06-16
ALL,2020-06-08,26,2020-06-16
ALL,2020-06-09,16,2020-06-16
ALL,2020-06-10,20,2020-06-16
ALL,2020-06-11,19,2020-06-16
ALL,2020-06-12,9,2020-06-16
ALL,2020-06-13,8,2020-06-16
ALL,2020-06-14,10,2020-06-16
ALL,2020-06-15,8,2020-06-16
ALL,2020-03-04,1,2020-06-17
ALL,2020-03-08,1,2020-06-17
ALL,2020-03-09,3,2020-06-17
ALL,2020-03-12,2,2020-06-17
ALL,2020-03-13,1,2020-06-17
ALL,2020-03-14,4,2020-06-17
ALL,2020-03-15,2,2020-06-17
ALL,2020-03-16,1,2020-06-17
ALL,2020-03-17,3,2020-06-17
ALL,2020-03-18,5,2020-06-17
ALL,2020-03-19,3,2020-06-17
