LOCATION,fecha_cui_intensivo,value,fecha_csv
ALL/Buenos Aires,2020-03-09,1,2020-06-16
ALL/Buenos Aires,2020-03-12,1,2020-06-16
ALL/Buenos Aires,2020-03-13,1,2020-06-16
ALL/Buenos Aires,2020-03-14,1,2020-06-16
ALL/Buenos Aires,2020-03-16,1,2020-06-16
ALL/Buenos Aires,2020-03-17,1,2020-06-16
ALL/Buenos Aires,2020-03-18,3,2020-06-16
ALL/Buenos Aires,2020-03-19,1,2020-06-16
ALL/Buenos Aires,2020-03-20,1,2020-06-16
ALL/Buenos Aires,2020-03-21,3,2020-06-16
ALL/Buenos Aires,2020-03-22,3,2020-06-16
ALL/Buenos Aires,2020-03-23,1,2020-06-16
ALL/Buenos Aires,2020-03-24,2,2020-06-16
ALL/Buenos Aires,2020-03-25,3,2020-06-16
ALL/Buenos Aires,2020-03-26,1,2020-06-16
ALL/Buenos Aires,2020-03-27,3,2020-06-16
ALL/Buenos Aires,2020-03-28,2,2020-06-16
ALL/Buenos Aires,2020-03-29,4,2020-06-16
ALL/Buenos Aires,2020-03-30,8,2020-06-16
ALL/Buenos Aires,2020-03-31,3,2020-06-16
ALL/Buenos Aires,2020-04-01,3,2020-06-16
ALL/Buenos Aires,2020-04-02,4,2020-06-16
ALL/Buenos Aires,2020-04-03,2,2020-06-16
ALL/Buenos Aires,2020-04-04,2,2020-06-16
ALL/Buenos Aires,2020-04-05,6,2020-06-16
ALL/Buenos Aires,2020-04-06,5,2020-06-16
ALL/Buenos Aires,2020-04-07,2,2020-06-16
ALL/Buenos Aires,2020-04-08,3,2020-06-16
ALL/Buenos Aires,2020-04-09,2,2020-06-16
ALL/Buenos Aires,2020-04-10,1,2020-06-16
ALL/Buenos Aires,2020-04-11,5,2020-06-16
ALL/Buenos Aires,2020-04-13,2,2020-06-16
ALL/Buenos Aires,2020-04-15,2,2020-06-16
ALL/Buenos Aires,2020-04-16,1,2020-06-16
ALL/Buenos Aires,2020-04-17,4,2020-06-16
ALL/Buenos Aires,2020-04-18,3,2020-06-16
ALL/Buenos Aires,2020-04-19,4,2020-06-16
ALL/Buenos Aires,2020-04-20,2,2020-06-16
ALL/Buenos Aires,2020-04-21,1,2020-06-16
ALL/Buenos Aires,2020-04-22,2,2020-06-16
ALL/Buenos Aires,2020-04-23,3,2020-06-16
ALL/Buenos Aires,2020-04-24,3,2020-06-16
ALL/Buenos Aires,2020-04-25,3,2020-06-16
ALL/Buenos Aires,2020-04-26,2,2020-06-16
ALL/Buenos Aires,2020-04-27,2,2020-06-16
ALL/Buenos Aires,2020-04-28,2,2020-06-16
ALL/Buenos Aires,2020-04-29,1,2020-06-16
ALL/Buenos Aires,2020-04-30,1,2020-06-16
ALL/Buenos Aires,2020-05-01,1,2020-06-16
ALL/Buenos Aires,2020-05-02,7,2020-06-16
ALL/Buenos Aires,2020-05-03,1,2020-06-16
ALL/Buenos Aires,2020-05-04,3,2020-06-16
ALL/Buenos Aires,2020-05-05,3,2020-06-16
ALL/Buenos Aires,2020-05-07,2,2020-06-16
ALL/Buenos Aires,2020-05-08,1,2020-06-16
ALL/Buenos Aires,2020-05-09,1,2020-06-16
ALL/Buenos Aires,2020-05-10,3,2020-06-16
ALL/Buenos Aires,2020-05-11,3,2020-06-16
ALL/Buenos Aires,2020-05-12,2,2020-06-16
ALL/Buenos Aires,2020-05-13,2,2020-06-16
ALL/Buenos Aires,2020-05-14,2,2020-06-16
ALL/Buenos Aires,2020-05-16,4,2020-06-16
ALL/Buenos Aires,2020-05-17,1,2020-06-16
ALL/Buenos Aires,2020-05-18,5,2020-06-16
ALL/Buenos Aires,2020-05-19,4,2020-06-16
ALL/Buenos Aires,2020-05-20,8,2020-06-16
ALL/Buenos Aires,2020-05-21,12,2020-06-16
ALL/Buenos Aires,2020-05-22,5,2020-06-16
ALL/Buenos Aires,2020-05-23,3,2020-06-16
ALL/Buenos Aires,2020-05-24,5,2020-06-16
ALL/Buenos Aires,2020-05-25,5,2020-06-16
ALL/Buenos Aires,2020-05-26,7,2020-06-16
ALL/Buenos Aires,2020-05-27,8,2020-06-16
ALL/Buenos Aires,2020-05-28,12,2020-06-16
ALL/Buenos Aires,2020-05-29,10,2020-06-16
ALL/Buenos Aires,2020-05-30,10,2020-06-16
ALL/Buenos Aires,2020-05-31,9,2020-06-16
ALL/Buenos Aires,2020-06-01,4,2020-06-16
ALL/Buenos Aires,2020-06-02,9,2020-06-16
ALL/Buenos Aires,2020-06-03,5,2020-06-16
ALL/Buenos Aires,2020-06-04,8,2020-06-16
ALL/Buenos Aires,2020-06-05,6,2020-06-16
ALL/Buenos Aires,2020-06-06,10,2020-06-16
ALL/Buenos Aires,2020-06-07,7,2020-06-16
ALL/Buenos Aires,2020-06-08,14,2020-06-16
ALL/Buenos Aires,2020-06-09,5,2020-06-16
ALL/Buenos Aires,2020-06-10,9,2020-06-16
ALL/Buenos Aires,2020-06-11,7,2020-06-16
ALL/Buenos Aires,2020-06-12,3,2020-06-16
ALL/Buenos Aires,2020-06-13,5,2020-06-16
ALL/Buenos Aires,2020-06-14,4,2020-06-16
ALL/Buenos Aires,2020-06-15,2,2020-06-16
ALL/CABA,2020-03-04,1,2020-06-16
ALL/CABA,2020-03-08,1,2020-06-16
ALL/CABA,2020-03-09,1,2020-06-16
ALL/CABA,2020-03-12,1,2020-06-16
ALL/CABA,2020-03-15,1,2020-06-16
ALL/CABA,2020-03-17,2,2020-06-16
