LOCATION,fecha_diagnostico,value,fecha_csv
ALL,2020-03-03,1,2020-06-16
ALL,2020-03-06,6,2020-06-16
ALL,2020-03-07,1,2020-06-16
ALL,2020-03-08,2,2020-06-16
ALL,2020-03-09,6,2020-06-16
ALL,2020-03-10,2,2020-06-16
ALL,2020-03-11,4,2020-06-16
ALL,2020-03-12,10,2020-06-16
ALL,2020-03-13,6,2020-06-16
ALL,2020-03-14,7,2020-06-16
ALL,2020-03-15,11,2020-06-16
ALL,2020-03-16,10,2020-06-16
ALL,2020-03-17,18,2020-06-16
ALL,2020-03-18,29,2020-06-16
ALL,2020-03-19,21,2020-06-16
ALL,2020-03-20,30,2020-06-16
ALL,2020-03-21,62,2020-06-16
ALL,2020-03-22,54,2020-06-16
ALL,2020-03-23,31,2020-06-16
ALL,2020-03-24,106,2020-06-16
ALL,2020-03-25,114,2020-06-16
ALL,2020-03-26,110,2020-06-16
ALL,2020-03-27,81,2020-06-16
ALL,2020-03-28,68,2020-06-16
ALL,2020-03-29,111,2020-06-16
ALL,2020-03-30,84,2020-06-16
ALL,2020-03-31,90,2020-06-16
ALL,2020-04-01,119,2020-06-16
ALL,2020-04-02,142,2020-06-16
ALL,2020-04-03,102,2020-06-16
ALL,2020-04-04,101,2020-06-16
ALL,2020-04-05,71,2020-06-16
ALL,2020-04-06,104,2020-06-16
ALL,2020-04-07,75,2020-06-16
ALL,2020-04-08,101,2020-06-16
ALL,2020-04-09,96,2020-06-16
ALL,2020-04-10,129,2020-06-16
ALL,2020-04-11,69,2020-06-16
ALL,2020-04-12,67,2020-06-16
ALL,2020-04-13,92,2020-06-16
ALL,2020-04-14,125,2020-06-16
ALL,2020-04-15,128,2020-06-16
ALL,2020-04-16,104,2020-06-16
ALL,2020-04-17,87,2020-06-16
ALL,2020-04-18,122,2020-06-16
ALL,2020-04-19,60,2020-06-16
ALL,2020-04-20,94,2020-06-16
ALL,2020-04-21,160,2020-06-16
ALL,2020-04-22,117,2020-06-16
ALL,2020-04-23,137,2020-06-16
ALL,2020-04-24,185,2020-06-16
ALL,2020-04-25,163,2020-06-16
ALL,2020-04-26,87,2020-06-16
ALL,2020-04-27,126,2020-06-16
ALL,2020-04-28,124,2020-06-16
ALL,2020-04-29,147,2020-06-16
ALL,2020-04-30,135,2020-06-16
ALL,2020-05-01,140,2020-06-16
ALL,2020-05-02,102,2020-06-16
ALL,2020-05-03,103,2020-06-16
ALL,2020-05-04,119,2020-06-16
ALL,2020-05-05,182,2020-06-16
ALL,2020-05-06,198,2020-06-16
ALL,2020-05-07,236,2020-06-16
ALL,2020-05-08,202,2020-06-16
ALL,2020-05-09,250,2020-06-16
ALL,2020-05-10,199,2020-06-16
ALL,2020-05-11,263,2020-06-16
ALL,2020-05-12,288,2020-06-16
ALL,2020-05-13,324,2020-06-16
ALL,2020-05-14,304,2020-06-16
ALL,2020-05-15,396,2020-06-16
ALL,2020-05-16,339,2020-06-16
ALL,2020-05-17,240,2020-06-16
ALL,2020-05-18,390,2020-06-16
ALL,2020-05-19,527,2020-06-16
ALL,2020-05-20,615,2020-06-16
ALL,2020-05-21,745,2020-06-16
ALL,2020-05-22,808,2020-06-16
ALL,2020-05-23,610,2020-06-16
ALL,2020-05-24,504,2020-06-16
ALL,2020-05-25,548,2020-06-16
ALL,2020-05-26,646,2020-06-16
ALL,2020-05-27,716,2020-06-16
ALL,2020-05-28,767,2020-06-16
ALL,2020-05-29,838,2020-06-16
ALL,2020-05-30,687,2020-06-16
ALL,2020-05-31,542,2020-06-16
ALL,2020-06-01,841,2020-06-16
ALL,2020-06-02,921,2020-06-16
ALL,2020-06-03,927,2020-06-16
ALL,2020-06-04,868,2020-06-16
ALL,2020-06-05,960,2020-06-16
ALL,2020-06-06,1086,2020-06-16
ALL,2020-06-07,570,2020-06-16
ALL,2020-06-08,1031,2020-06-16
ALL,2020-06-09,1335,2020-06-16
