LOCATION,fecha_diagnostico,value,fecha_csv
ALL/Buenos Aires,2020-03-06,1,2020-06-16
ALL/Buenos Aires,2020-03-09,1,2020-06-16
ALL/Buenos Aires,2020-03-10,1,2020-06-16
ALL/Buenos Aires,2020-03-11,1,2020-06-16
ALL/Buenos Aires,2020-03-12,5,2020-06-16
ALL/Buenos Aires,2020-03-13,1,2020-06-16
ALL/Buenos Aires,2020-03-14,2,2020-06-16
ALL/Buenos Aires,2020-03-15,2,2020-06-16
ALL/Buenos Aires,2020-03-16,1,2020-06-16
ALL/Buenos Aires,2020-03-17,1,2020-06-16
ALL/Buenos Aires,2020-03-18,9,2020-06-16
ALL/Buenos Aires,2020-03-19,4,2020-06-16
ALL/Buenos Aires,2020-03-20,7,2020-06-16
ALL/Buenos Aires,2020-03-21,10,2020-06-16
ALL/Buenos Aires,2020-03-22,7,2020-06-16
ALL/Buenos Aires,2020-03-23,6,2020-06-16
ALL/Buenos Aires,2020-03-24,25,2020-06-16
ALL/Buenos Aires,2020-03-25,36,2020-06-16
ALL/Buenos Aires,2020-03-26,29,2020-06-16
ALL/Buenos Aires,2020-03-27,21,2020-06-16
ALL/Buenos Aires,2020-03-28,11,2020-06-16
ALL/Buenos Aires,2020-03-29,22,2020-06-16
ALL/Buenos Aires,2020-03-30,15,2020-06-16
ALL/Buenos Aires,2020-03-31,15,2020-06-16
ALL/Buenos Aires,2020-04-01,19,2020-06-16
ALL/Buenos Aires,2020-04-02,23,2020-06-16
ALL/Buenos Aires,2020-04-03,22,2020-06-16
ALL/Buenos Aires,2020-04-04,19,2020-06-16
ALL/Buenos Aires,2020-04-05,11,2020-06-16
ALL/Buenos Aires,2020-04-06,29,2020-06-16
ALL/Buenos Aires,2020-04-07,13,2020-06-16
ALL/Buenos Aires,2020-04-08,18,2020-06-16
ALL/Buenos Aires,2020-04-09,12,2020-06-16
ALL/Buenos Aires,2020-04-10,36,2020-06-16
ALL/Buenos Aires,2020-04-11,12,2020-06-16
ALL/Buenos Aires,2020-04-12,29,2020-06-16
ALL/Buenos Aires,2020-04-13,26,2020-06-16
ALL/Buenos Aires,2020-04-14,59,2020-06-16
ALL/Buenos Aires,2020-04-15,39,2020-06-16
ALL/Buenos Aires,2020-04-16,40,2020-06-16
ALL/Buenos Aires,2020-04-17,33,2020-06-16
ALL/Buenos Aires,2020-04-18,52,2020-06-16
ALL/Buenos Aires,2020-04-19,22,2020-06-16
ALL/Buenos Aires,2020-04-20,45,2020-06-16
ALL/Buenos Aires,2020-04-21,56,2020-06-16
ALL/Buenos Aires,2020-04-22,50,2020-06-16
ALL/Buenos Aires,2020-04-23,51,2020-06-16
ALL/Buenos Aires,2020-04-24,57,2020-06-16
ALL/Buenos Aires,2020-04-25,76,2020-06-16
ALL/Buenos Aires,2020-04-26,24,2020-06-16
ALL/Buenos Aires,2020-04-27,62,2020-06-16
ALL/Buenos Aires,2020-04-28,50,2020-06-16
ALL/Buenos Aires,2020-04-29,81,2020-06-16
ALL/Buenos Aires,2020-04-30,45,2020-06-16
ALL/Buenos Aires,2020-05-01,38,2020-06-16
ALL/Buenos Aires,2020-05-02,30,2020-06-16
ALL/Buenos Aires,2020-05-03,27,2020-06-16
ALL/Buenos Aires,2020-05-04,43,2020-06-16
ALL/Buenos Aires,2020-05-05,48,2020-06-16
ALL/Buenos Aires,2020-05-06,51,2020-06-16
ALL/Buenos Aires,2020-05-07,49,2020-06-16
ALL/Buenos Aires,2020-05-08,65,2020-06-16
ALL/Buenos Aires,2020-05-09,53,2020-06-16
ALL/Buenos Aires,2020-05-10,29,2020-06-16
ALL/Buenos Aires,2020-05-11,44,2020-06-16
