LOCATION,fecha_fallecimiento,value,fecha_csv
ALL,2020-03-07,1,2020-06-16
ALL,2020-03-13,1,2020-06-16
ALL,2020-03-18,1,2020-06-16
ALL,2020-03-21,1,2020-06-16
ALL,2020-03-24,3,2020-06-16
ALL,2020-03-25,4,2020-06-16
ALL,2020-03-26,4,2020-06-16
ALL,2020-03-27,2,2020-06-16
ALL,2020-03-28,2,2020-06-16
ALL,2020-03-29,3,2020-06-16
ALL,2020-03-30,3,2020-06-16
ALL,2020-03-31,3,2020-06-16
ALL,2020-04-01,7,2020-06-16
ALL,2020-04-02,5,2020-06-16
ALL,2020-04-03,3,2020-06-16
ALL,2020-04-04,3,2020-06-16
ALL,2020-04-05,9,2020-06-16
ALL,2020-04-06,7,2020-06-16
ALL,2020-04-07,6,2020-06-16
ALL,2020-04-08,11,2020-06-16
ALL,2020-04-09,8,2020-06-16
ALL,2020-04-10,4,2020-06-16
ALL,2020-04-11,5,2020-06-16
ALL,2020-04-12,4,2020-06-16
ALL,2020-04-13,7,2020-06-16
ALL,2020-04-14,9,2020-06-16
ALL,2020-04-15,8,2020-06-16
ALL,2020-04-16,7,2020-06-16
ALL,2020-04-17,5,2020-06-16
ALL,2020-04-18,4,2020-06-16
ALL,2020-04-19,7,2020-06-16
ALL,2020-04-20,7,2020-06-16
ALL,2020-04-21,8,2020-06-16
ALL,2020-04-22,10,2020-06-16
ALL,2020-04-23,8,2020-06-16
ALL,2020-04-24,13,2020-06-16
ALL,2020-04-25,10,2020-06-16
ALL,2020-04-26,6,2020-06-16
ALL,2020-04-27,12,2020-06-16
ALL,2020-04-28,11,2020-06-16
ALL,2020-04-29,10,2020-06-16
ALL,2020-04-30,8,2020-06-16
ALL,2020-05-01,20,2020-06-16
ALL,2020-05-02,10,2020-06-16
ALL,2020-05-03,8,2020-06-16
ALL,2020-05-04,7,2020-06-16
ALL,2020-05-05,5,2020-06-16
ALL,2020-05-06,9,2020-06-16
ALL,2020-05-07,10,2020-06-16
ALL,2020-05-08,7,2020-06-16
ALL,2020-05-09,7,2020-06-16
ALL,2020-05-10,9,2020-06-16
ALL,2020-05-11,13,2020-06-16
ALL,2020-05-12,5,2020-06-16
ALL,2020-05-13,12,2020-06-16
ALL,2020-05-14,9,2020-06-16
ALL,2020-05-15,13,2020-06-16
ALL,2020-05-16,8,2020-06-16
ALL,2020-05-17,10,2020-06-16
ALL,2020-05-18,14,2020-06-16
ALL,2020-05-19,8,2020-06-16
ALL,2020-05-20,13,2020-06-16
ALL,2020-05-21,15,2020-06-16
ALL,2020-05-22,15,2020-06-16
ALL,2020-05-23,8,2020-06-16
ALL,2020-05-24,11,2020-06-16
ALL,2020-05-25,14,2020-06-16
ALL,2020-05-26,10,2020-06-16
ALL,2020-05-27,10,2020-06-16
ALL,2020-05-28,13,2020-06-16
ALL,2020-05-29,13,2020-06-16
ALL,2020-05-30,14,2020-06-16
ALL,2020-05-31,12,2020-06-16
ALL,2020-06-01,17,2020-06-16
ALL,2020-06-02,12,2020-06-16
ALL,2020-06-03,27,2020-06-16
ALL,2020-06-04,25,2020-06-16
ALL,2020-06-05,18,2020-06-16
ALL,2020-06-06,20,2020-06-16
ALL,2020-06-07,20,2020-06-16
ALL,2020-06-08,28,2020-06-16
ALL,2020-06-09,14,2020-06-16
ALL,2020-06-10,24,2020-06-16
