LOCATION,fecha_fallecimiento,value,fecha_csv
ALL/25 de Mayo,2020-05-22,1,2020-06-16
ALL/Almirante Brown,2020-04-05,1,2020-06-16
ALL/Almirante Brown,2020-04-22,1,2020-06-16
ALL/Almirante Brown,2020-04-29,1,2020-06-16
ALL/Almirante Brown,2020-05-17,1,2020-06-16
ALL/Almirante Brown,2020-05-18,1,2020-06-16
ALL/Almirante Brown,2020-05-25,1,2020-06-16
ALL/Almirante Brown,2020-06-01,1,2020-06-16
ALL/Almirante Brown,2020-06-04,2,2020-06-16
ALL/Almirante Brown,2020-06-05,2,2020-06-16
ALL/Arauco,2020-06-06,1,2020-06-16
ALL/Avellaneda,2020-04-06,1,2020-06-16
ALL/Avellaneda,2020-04-13,1,2020-06-16
ALL/Avellaneda,2020-04-18,1,2020-06-16
ALL/Avellaneda,2020-04-19,1,2020-06-16
ALL/Avellaneda,2020-04-20,1,2020-06-16
ALL/Avellaneda,2020-04-25,1,2020-06-16
ALL/Avellaneda,2020-04-26,1,2020-06-16
ALL/Avellaneda,2020-05-03,1,2020-06-16
ALL/Avellaneda,2020-05-10,1,2020-06-16
ALL/Avellaneda,2020-05-12,1,2020-06-16
ALL/Avellaneda,2020-05-13,2,2020-06-16
ALL/Avellaneda,2020-05-16,1,2020-06-16
ALL/Avellaneda,2020-05-20,1,2020-06-16
ALL/Avellaneda,2020-05-21,1,2020-06-16
ALL/Avellaneda,2020-05-22,1,2020-06-16
ALL/Avellaneda,2020-05-25,1,2020-06-16
ALL/Avellaneda,2020-05-29,1,2020-06-16
ALL/Avellaneda,2020-05-31,1,2020-06-16
ALL/Avellaneda,2020-06-02,2,2020-06-16
ALL/Avellaneda,2020-06-04,2,2020-06-16
ALL/Avellaneda,2020-06-05,1,2020-06-16
ALL/Avellaneda,2020-06-06,1,2020-06-16
ALL/Avellaneda,2020-06-07,1,2020-06-16
ALL/Avellaneda,2020-06-10,1,2020-06-16
ALL/Avellaneda,2020-06-11,2,2020-06-16
ALL/Avellaneda,2020-06-14,1,2020-06-16
ALL/Bahía Blanca,2020-05-05,1,2020-06-16
ALL/Bahía Blanca,2020-05-15,1,2020-06-16
ALL/Bahía Blanca,2020-05-30,1,2020-06-16
ALL/Baradero,2020-06-08,1,2020-06-16
ALL/Bariloche,2020-06-03,1,2020-06-16
ALL/Berazategui,2020-04-27,1,2020-06-16
ALL/Berazategui,2020-04-30,1,2020-06-16
ALL/Berazategui,2020-05-14,1,2020-06-16
ALL/Berazategui,2020-06-03,1,2020-06-16
ALL/Berazategui,2020-06-05,1,2020-06-16
ALL/Berazategui,2020-06-08,1,2020-06-16
ALL/Berazategui,2020-06-12,1,2020-06-16
ALL/Bermejo,2020-05-01,1,2020-06-16
ALL/Bermejo,2020-05-20,1,2020-06-16
ALL/COMUNA 1,2020-03-07,1,2020-06-16
ALL/COMUNA 1,2020-05-02,1,2020-06-16
ALL/COMUNA 1,2020-05-12,1,2020-06-16
ALL/COMUNA 1,2020-05-13,1,2020-06-16
ALL/COMUNA 1,2020-05-15,1,2020-06-16
ALL/COMUNA 1,2020-05-17,1,2020-06-16
ALL/COMUNA 1,2020-05-20,1,2020-06-16
ALL/COMUNA 1,2020-05-21,1,2020-06-16
ALL/COMUNA 1,2020-05-25,1,2020-06-16
ALL/COMUNA 1,2020-05-28,1,2020-06-16
ALL/COMUNA 1,2020-05-29,2,2020-06-16
ALL/COMUNA 1,2020-06-02,2,2020-06-16
ALL/COMUNA 1,2020-06-03,4,2020-06-16
ALL/COMUNA 1,2020-06-04,1,2020-06-16
ALL/COMUNA 1,2020-06-07,2,2020-06-16
ALL/COMUNA 1,2020-06-08,1,2020-06-16
ALL/COMUNA 1,2020-06-11,1,2020-06-16
ALL/COMUNA 1,2020-06-12,1,2020-06-16
ALL/COMUNA 1,2020-06-14,1,2020-06-16
ALL/COMUNA 1,2020-06-15,1,2020-06-16
ALL/COMUNA 10,2020-04-09,1,2020-06-16
ALL/COMUNA 10,2020-04-10,1,2020-06-16
ALL/COMUNA 10,2020-04-14,2,2020-06-16
ALL/COMUNA 10,2020-04-30,1,2020-06-16
ALL/COMUNA 10,2020-05-21,1,2020-06-16
ALL/COMUNA 10,2020-06-09,1,2020-06-16
ALL/COMUNA 11,2020-04-10,1,2020-06-16
ALL/COMUNA 11,2020-06-03,1,2020-06-16
ALL/COMUNA 13,2020-04-28,1,2020-06-16
ALL/COMUNA 13,2020-04-29,1,2020-06-16
ALL/COMUNA 13,2020-05-08,1,2020-06-16
ALL/COMUNA 13,2020-05-19,1,2020-06-16
ALL/COMUNA 13,2020-05-25,1,2020-06-16
ALL/COMUNA 13,2020-06-05,1,2020-06-16
ALL/COMUNA 13,2020-06-08,1,2020-06-16
ALL/COMUNA 13,2020-06-10,1,2020-06-16
ALL/COMUNA 14,2020-03-18,1,2020-06-16
ALL/COMUNA 14,2020-04-11,1,2020-06-16
ALL/COMUNA 14,2020-06-04,1,2020-06-16
ALL/COMUNA 14,2020-06-11,1,2020-06-16
ALL/COMUNA 15,2020-06-12,1,2020-06-16
ALL/COMUNA 15,2020-06-14,1,2020-06-16
ALL/COMUNA 2,2020-05-12,1,2020-06-16
ALL/COMUNA 2,2020-05-22,1,2020-06-16
ALL/COMUNA 2,2020-05-25,1,2020-06-16
ALL/COMUNA 2,2020-05-26,1,2020-06-16
ALL/COMUNA 2,2020-06-14,1,2020-06-16
ALL/COMUNA 3,2020-04-25,1,2020-06-16
ALL/COMUNA 3,2020-05-24,2,2020-06-16
ALL/COMUNA 3,2020-06-07,1,2020-06-16
ALL/COMUNA 3,2020-06-09,1,2020-06-16
ALL/COMUNA 3,2020-06-14,1,2020-06-16
ALL/COMUNA 4,2020-05-18,1,2020-06-16
ALL/COMUNA 4,2020-05-21,1,2020-06-16
ALL/COMUNA 4,2020-05-25,1,2020-06-16
ALL/COMUNA 4,2020-05-30,1,2020-06-16
ALL/COMUNA 4,2020-06-04,2,2020-06-16
ALL/COMUNA 4,2020-06-08,1,2020-06-16
ALL/COMUNA 4,2020-06-16,1,2020-06-16
ALL/COMUNA 5,2020-04-06,1,2020-06-16
ALL/COMUNA 5,2020-05-05,1,2020-06-16
ALL/COMUNA 5,2020-06-01,1,2020-06-16
ALL/COMUNA 5,2020-06-06,1,2020-06-16
ALL/COMUNA 6,2020-05-01,1,2020-06-16
